"property_id","floor","raw_equipment_name","raw_equipment_type","point_count","sample_topic_name","source"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV109301_Portman-CSA-AHU-1","AHU","9","Floor_02/DEV109301_Portman-CSA-AHU-1/Portman__CSA_AHU_1__CHWRCtrlVlv","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV109303_Portman-CSA-AHU-3","AHU","8","Floor_02/DEV109303_Portman-CSA-AHU-3/Portman__CSA_AHU_3__CHWRCtrlVlv","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV205015_AHU-02A","AHU","1","Floor_02/DEV205015_AHU-02A/NO NAME! PLEASE NAME THIS.","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV205016_AHU-02B","AHU","6","Floor_02/DEV205016_AHU-02B/FanSpeedSetpoint","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV205017_AHU-02C","AHU","6","Floor_02/DEV205017_AHU-02C/CHWEnteringTemp","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36226_AHU_1_01","AHU","32","Floor_02/DEV36226_AHU_1_01/ACT_COOL_STPT","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36229_AHU_2_01","AHU","19","Floor_02/DEV36229_AHU_2_01/CHWR_CONTROL_VALVE_CMD","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36230_AHU_2_02","AHU","17","Floor_02/DEV36230_AHU_2_02/CHWR_CONTROL_VALVE_CMD","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36231_AHU_2_03","AHU","24","Floor_02/DEV36231_AHU_2_03/ACT_COOL_STPT","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37159_EAVAV_1_01","EAVAV","8","Floor_02/DEV37159_EAVAV_1_01/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37160_EAVAV_1_04","EAVAV","8","Floor_02/DEV37160_EAVAV_1_04/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37167_EAVAV_2_01","EAVAV","8","Floor_02/DEV37167_EAVAV_2_01/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37168_EAVAV_2_02","EAVAV","8","Floor_02/DEV37168_EAVAV_2_02/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37169_EAVAV_2_03","EAVAV","8","Floor_02/DEV37169_EAVAV_2_03/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV109101_Portman-FCU-1-1","FCU","22","Floor_02/DEV109101_Portman-FCU-1-1/Portman__FCU_1_1__CHWRCtrlVlv","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV109102_Portman-FCU-1-2","FCU","22","Floor_02/DEV109102_Portman-FCU-1-2/Portman__FCU_1_2__CHWRCtrlVlv","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV109103_Portman-FCU-1-3","FCU","17","Floor_02/DEV109103_Portman-FCU-1-3/Portman__FCU_1_3__CHWRCtrlVlv","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36232_FCU_PM_2_01","FCU","25","Floor_02/DEV36232_FCU_PM_2_01/ACT_COOL_STPT","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV205001_FPTU_02_01","FPTU","10","Floor_02/DEV205001_FPTU_02_01/ActFlowSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37162_OAVAV_1_02","OAVAV","8","Floor_02/DEV37162_OAVAV_1_02/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37163_OAVAV_1_03","OAVAV","8","Floor_02/DEV37163_OAVAV_1_03/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37164_OAVAV_1_04","OAVAV","8","Floor_02/DEV37164_OAVAV_1_04/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37165_OAVAV_1_05","OAVAV","8","Floor_02/DEV37165_OAVAV_1_05/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37166_OAVAV_1_07","OAVAV","8","Floor_02/DEV37166_OAVAV_1_07/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37170_OAVAV_2_01","OAVAV","8","Floor_02/DEV37170_OAVAV_2_01/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37171_OAVAV_2_02","OAVAV","8","Floor_02/DEV37171_OAVAV_2_02/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37172_OAVAV_2_03","OAVAV","8","Floor_02/DEV37172_OAVAV_2_03/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37173_OAVAV_2_04","OAVAV","8","Floor_02/DEV37173_OAVAV_2_04/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37174_OAVAV_2_05","OAVAV","8","Floor_02/DEV37174_OAVAV_2_05/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37175_OAVAV_2_06","OAVAV","8","Floor_02/DEV37175_OAVAV_2_06/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37176_OAVAV_2_07","OAVAV","8","Floor_02/DEV37176_OAVAV_2_07/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37177_OAVAV_2_08","OAVAV","8","Floor_02/DEV37177_OAVAV_2_08/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37178_OAVAV_2_09","OAVAV","8","Floor_02/DEV37178_OAVAV_2_09/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV37179_OAVAV_2_10","OAVAV","8","Floor_02/DEV37179_OAVAV_2_10/ActFlow","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV205009_VAV_02_02","VAV","1","Floor_02/DEV205009_VAV_02_02/NO NAME! PLEASE NAME THIS.","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV205012_VAV_02_05","VAV","1","Floor_02/DEV205012_VAV_02_05/NO NAME! PLEASE NAME THIS.","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV205013_VAV_02_06","VAV","12","Floor_02/DEV205013_VAV_02_06/ActHeatSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36233_VAV_2_01","VAV","29","Floor_02/DEV36233_VAV_2_01/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36228_VAVRH_1_01","VAVRH","29","Floor_02/DEV36228_VAVRH_1_01/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36234_VAVRH_2_01","VAVRH","29","Floor_02/DEV36234_VAVRH_2_01/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36235_VAVRH_2_02","VAVRH","29","Floor_02/DEV36235_VAVRH_2_02/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36236_VAVRH_2_03","VAVRH","29","Floor_02/DEV36236_VAVRH_2_03/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36237_VAVRH_2_04","VAVRH","29","Floor_02/DEV36237_VAVRH_2_04/ActCoolSP","topics"
"b470b97b-4ea7-481c-97b7-22a81a219587","Floor_02","DEV36238_VAVRH_2_05","VAVRH","29","Floor_02/DEV36238_VAVRH_2_05/ActCoolSP","topics"
